id,title,summary,l2_category,confidence,method,flag,corrected_l2
5072f137f20f4a04,拜耳重磅药物新适应症国内申报上市,非奈利酮是一款first-in-class非甾体选择性盐皮质激素受体（MR）拮抗剂，此前已在中国获批用于与2型糖尿病相关的慢性肾脏病（DKD）以及射血分数（LVEF）≥40%的心力衰竭。 此次新适应症申报，是基于迄今为止针对非糖尿病慢性肾脏病的最大III期临床研究FIND-CKD的积极结果，标志着这款已展现强劲市场增长潜力的创新药，正加速向覆盖更广泛CKD人群的目标迈进。 慢性肾脏病（ CKD ）,其他/综合,0,other,LOW_CONF: 置信度过低,
127374e04f0691dc,中国首个自研长效胰岛素类似物获批上市,近日，恒瑞医药宣布，其自主研发的1类治疗用生物制品舒地胰岛素注射液（商品名：瑞恒盈 ® ）获国家药品监督管理局（NMPA）获批上市，用于 治疗成人2型糖 尿 病。 该产品是 中国首个自主研发的长效胰岛素类似物。 美国垄断程度最高的市场，快被中国药企打穿。,其他/综合,0,other,LOW_CONF: 置信度过低,
3e72aca164e5b092,河南安阳推行医保支付方式改革——算好“健康账” 激活一盘棋,老百姓常说，医保基金是“救命钱”。 河南省安阳市用一场医保支付方式改革，给出了答案。 这场改革的核心，简单来说就是“打包付费”。,其他/综合,0,other,LOW_CONF: 置信度过低,
d9186174b686d40a,一种常见氨基酸又被盯上了！限制摄入不仅能抑制白血病进展，还可改善代谢、缓解衰老虚弱：雄性小鼠寿命延长 23%,近日， Nature Aging 的一项研究证实：终身减少三分之二膳食缬氨酸，小鼠的代谢健康和身体机能都能得到明显改善，还能把雄性小鼠的中位寿命延长近四分之一，而在雌性小鼠身上没有带来显著的寿命延长。 该研究不光发现单一氨基酸限制会产生性别特异性效应，也为理解「是蛋白质质量而非总量影响健康衰老」提供了新的研究角度。 2026 年 7 月 24 日，Lamming 实验室联合多所研究机构在 Natu,其他/综合,0,other,LOW_CONF: 置信度过低,
8a6aed86ac5d1798,赛诺菲-深圳医学科学院-深圳湾实验室战略科学创新联盟（SSSIA）正式成立,赛诺菲是一家研发驱动、AI 赋能的生物制药公司，致力于焕发生命光彩并实现强劲增长。 作为改革开放后首批进入中国的跨国企业之一，赛诺菲于1982年便在中国建立了办公室，目前拥有从研发、生产制造到商业运营的端到端价值链，包括3家生产基地和4大研发基地，业务覆盖制药和疫苗。 赛诺菲与中国同心同行，致力于将创新药品和疫苗加速引进中国，造福更多中国百姓，也为合作伙伴、社区和员工创造更美好的生活。,其他/综合,0,other,LOW_CONF: 置信度过低,
b28564ffd5fab9f0,美团暑期健康消费观察：儿童早矫需求增70%，近七成中医养生新客是年轻人,美团暑期健康消费观察显示，儿童早矫和三伏贴需求同比均增70%，近七成中医养生新客为年轻人。家庭健康管理意识提升，儿童口腔消费从“出了问题再处理”向“提前规划、主动预防”转变，家长决策更理性，下单前浏览机构数量增多，决策周期向8天以上集中，跨机构比方案成常态。美团调研显示，家长选择口腔机构时对熟人推荐依赖度降低，线上主动搜索上升。美团发布首届司南口腔榜，100余个城市1500多家口腔机构标注儿童友好,其他/综合,0,other,LOW_CONF: 置信度过低,
036822de5b75091f,Materials Today Bio | 赵刚团队提出“低温稳态”保存范式，实现小口径动脉移植物低毒玻璃化保存,小口径动脉移植物 （直径＜ 6 mm ） 是血管重建的长期难题。 玻璃化保存虽能抑制冰晶，却常常依赖高浓度低温保护剂 （ CPAs ） ，由此带来的化学毒性与渗透压冲击又会损伤细胞。 该策略不简单以牺牲 抑冰能力 为代价，而是通过低剂量复合冰抑制剂与一步快速卸载的协同，尝试同步控制冰损伤和溶液损伤。,其他/综合,0,other,LOW_CONF: 置信度过低,
3911fa2df6d0927f,研究风向 | 视网膜AI提升遗传诊断，光谱模型外测猫孢子菌病,"01｜视觉Transformer · 遗传性视网膜病 Retina4IRD进入随机试验，专家前五位遗传判断提高21.2个百分点。 核心数据： Retina4IRD以RETFound预训练的Vision Transformer处理眼底照相和OCT，预测 17 类基因型。 训练及验证数据来自中国、韩国和波兰 1,843名 遗传确诊患者、 3,376只 眼；摘要未披露各数据划分及患者级去重细节。",其他/综合,0,other,LOW_CONF: 置信度过低,
9fe43d36f7a1d6df,Nature | 李姣/朱家鹏/张凯/Croce等原位解析类囊体膜堆叠与高效光合作用机制,"光合作用是地球上几乎所有生命赖以生存的能量源泉。 植物通过位于叶绿体类囊体膜上的光系统II （PSII） 和光系统I （PSI） 超级复合物，将太阳能高效转化为化学能，驱动着整个生态系统的运转 【1, 3 】 。 为了破解上述体外纯化失真与高阶组装未知的难题， 2026年7月29日 ，中国科学技术大学 张凯课题组 李 姣 特任副研究员 （第一作者兼共同通讯） 、 张凯 教授 （共同通讯） 、阿姆斯",其他/综合,0,other,LOW_CONF: 置信度过低,
36a08c117f582054,MSL如何把数据用出价值？从一次研究者拜访谈起,从“看到数据”到“看见问题”。 随着真实世界研究和学术发表需求增加，如何在合规前提下，把临床观察转化为科学问题、投稿方向和证据gap，正在成为MSL能力边界的重要延展。 在日常拜访中，研究者有时会主动与MSL交流临床观察、随访经验或数据方向。,其他/综合,0,other,LOW_CONF: 置信度过低,
